tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType,originalTitle,isAdult,endYear,runtimeMinutes,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0036868,2.0,nm0000763,Dana Andrews,"tt0037008,tt0036868,tt0037691,tt0049949",37,1.0,nm0001485,movie,The Best Years of Our Lives,0.0,\N,170.0,The Best Years of Our Lives,1946,"Drama,Romance,War",Myrna Loy,1905,1993,"actress,soundtrack,archive_footage","tt0025878,tt0036868,tt0040613,tt0027260",41,-4
tt0036902,1.0,nm0430015,Jim Jordan,"tt0076618,tt0033850,tt0036902,tt0029663",48,2.0,nm0430090,movie,Heavenly Days,0.0,\N,71.0,Heavenly Days,1944,"Comedy,Romance",Marian Jordan,1898,1961,"actress,soundtrack,archive_footage","tt0036902,tt0033850,tt0029663,tt0034847",46,2
tt0036919,2.0,nm0355095,Jack Haley,"tt0032138,tt0039075,tt0038091,tt0037151",46,1.0,nm0006807,movie,Higher and Higher,0.0,\N,90.0,Higher and Higher,1943,"Comedy,Musical,Romance",Michèle Morgan,1920,2016,"actress,archive_footage,archive_sound","tt0039004,tt0030643,tt0040338,tt0038409",23,23
tt0037105,2.0,nm0206376,Dennis Day,"tt0037105,tt0032289,tt0045815,tt0040580",28,1.0,nm0794297,movie,Music in Manhattan,0.0,\N,81.0,Music in Manhattan,1944,"Musical,Romance",Anne Shirley,1918,1993,"actress,soundtrack,archive_footage","tt0037101,tt0033532,tt0029608,tt0021074",26,2
tt0037193,1.0,nm0001362,Bob Hope,"tt0032520,tt0031143,tt0039645,tt0045094",41,2.0,nm0562920,movie,The Princess and the Pirate,0.0,\N,94.0,The Princess and the Pirate,1944,"Adventure,Comedy,Romance",Virginia Mayo,1920,2005,"actress,soundtrack,archive_footage","tt0042041,tt0036868,tt0040820,tt0043379",24,17
tt0037261,1.0,nm0114878,Wally Brown,"tt0038787,tt0038270,tt0037261,tt0036865",40,3.0,nm0570253,movie,Seven Days Ashore,0.0,\N,74.0,Seven Days Ashore,1944,"Comedy,Musical,Romance",Marcy McGuire,1926,2021,"actress,soundtrack,archive_footage","tt0036919,tt0038479,tt0035307,tt0038091",18,22
tt0037274,1.0,nm0134662,Eddie Cantor,"tt0025347,tt0023088,tt0032487,tt0036422",52,3.0,nm0204843,movie,Show Business,0.0,\N,92.0,Show Business,1944,"Comedy,Musical,Romance",Joan Davis,1912,1961,"actress,producer,soundtrack","tt0033723,tt0037736,tt0036633,tt0036978",32,20
tt0037313,1.0,nm0579663,Adolphe Menjou,"tt0050825,tt0021890,tt0029606,tt0016935",54,4.0,nm0002038,movie,Step Lively,0.0,\N,88.0,Step Lively,1944,"Comedy,Music,Romance",Gloria DeHaven,1925,2016,"actress,soundtrack,archive_footage","tt0037365,tt0045702,tt0037408,tt0042589",19,35
tt0037508,1.0,nm0000011,Gary Cooper,"tt0044706,tt0034167,tt0035896,tt0027996",44,2.0,nm0949835,movie,Along Came Jones,0.0,\N,90,Along Came Jones,1945,"Comedy,Romance,Western",Loretta Young,1913,2000,"actress,producer,soundtrack","tt0038991,tt0039370,tt0024334,tt0032397",32,12
tt0037671,2.0,nm0001870,Robert Young,"tt0039286,tt0046600,tt0034923,tt0033686",38,1.0,nm0570192,movie,The Enchanted Cottage,0.0,\N,91,The Enchanted Cottage,1945,"Drama,Fantasy,Romance",Dorothy McGuire,1916,2001,"actress,soundtrack,archive_footage","tt0039416,tt0050798,tt0053320,tt0054357",29,9
tt0037970,1.0,nm0856062,Phillip Terry,"tt0037884,tt0039815,tt0039211,tt0054020",36,2.0,nm0518879,movie,Pan-Americana,0.0,\N,84,Pan-Americana,1945,"Comedy,Musical,Romance",Audrey Long,1922,2014,actress,"tt0039211,tt0037970,tt0037130,tt0039313",23,13
tt0037981,1.0,nm0000784,Pedro Armendáriz,"tt0057076,tt0040369,tt0040064,tt0037981",35,2.0,nm0549773,movie,La perla,0.0,\N,85,The Pearl,1947,"Adventure,Drama,Romance",María Elena Marqués,1926,2008,"actress,miscellaneous,soundtrack","tt0037981,tt0174157,tt0218358,tt0055337",21,14
tt0038012,1.0,nm0114878,Wally Brown,"tt0038787,tt0038270,tt0037261,tt0036865",41,3.0,nm0486387,movie,Radio Stars on Parade,0.0,\N,69,Radio Stars on Parade,1945,"Comedy,Music,Romance",Frances Langford,1913,2005,"actress,music_department,writer","tt0029003,tt0028079,tt0026325,tt0033323",32,9
tt0038091,1.0,nm0355095,Jack Haley,"tt0032138,tt0039075,tt0038091,tt0037151",48,2.0,nm0570253,movie,Sing Your Way Home,0.0,\N,72,Sing Your Way Home,1945,"Comedy,Music,Romance",Marcy McGuire,1926,2021,"actress,soundtrack,archive_footage","tt0036919,tt0038479,tt0035307,tt0038091",19,29
tt0038108,1.0,nm0002134,Paul Henreid,"tt0034583,tt0040444,tt0076009,tt0035140",37,2.0,nm0000058,movie,The Spanish Main,0.0,\N,100,The Spanish Main,1945,"Adventure,Drama,Romance",Maureen O'Hara,1920,2015,"actress,soundtrack,archive_footage","tt0045061,tt0039628,tt0055277,tt0033729",25,12
tt0038244,1.0,nm0259816,Leon Errol,"tt0031641,tt0031370,tt0035061,tt0036959",64,4.0,nm0727026,movie,What a Blonde,0.0,\N,71,What a Blonde,1945,"Comedy,Romance",Elaine Riley,1917,2015,"actress,archive_footage","tt0047739,tt0040339,tt0040793,tt0040837",28,36
tt0038324,2.0,nm0250287,Ralph Edwards,"tt0081916,tt0039177,tt0038324,tt1270746",33,1.0,nm0486387,movie,The Bamboo Blonde,0.0,\N,67,The Bamboo Blonde,1946,"Music,Romance,War",Frances Langford,1913,2005,"actress,music_department,writer","tt0029003,tt0028079,tt0026325,tt0033323",33,0
tt0038479,1.0,nm0894669,Glen Vernon,"tt0108174,tt0038479,tt0041503,tt0038343",23,2.0,nm0570253,movie,Ding Dong Williams,0.0,\N,61,Ding Dong Williams,1946,"Comedy,Music,Romance",Marcy McGuire,1926,2021,"actress,soundtrack,archive_footage","tt0036919,tt0038479,tt0035307,tt0038091",20,3
tt0038537,2.0,nm0828594,Mark Stevens,"tt0042242,tt0038453,tt0040806,tt0049857",30,1.0,nm0000021,movie,From This Day Forward,0.0,\N,95,From This Day Forward,1946,"Drama,Mystery,Romance",Joan Fontaine,1917,2013,"actress,producer,soundtrack","tt0034248,tt0032976,tt0035751,tt0036969",29,1
tt0038592,2.0,nm0001922,Jean-Pierre Aumont,"tt0046000,tt0070460,tt0038592,tt0035651",35,1.0,nm0001677,movie,Heartbeat,0.0,\N,102,Heartbeat,1946,"Comedy,Drama,Romance",Ginger Rogers,1911,1995,"actress,soundtrack,archive_footage","tt0032671,tt0035019,tt0044916,tt0032946",35,0
tt0038787,1.0,nm0000026,Cary Grant,"tt0053125,tt0056923,tt0034248,tt0053143",42,2.0,nm0000006,movie,Notorious,0.0,\N,102,Notorious,1946,"Drama,Film-Noir,Romance",Ingrid Bergman,1915,1982,"actress,producer,soundtrack","tt0034583,tt0036855,tt0038109,tt0038787",31,11
tt0038886,1.0,nm0259816,Leon Errol,"tt0031641,tt0031370,tt0035061,tt0036959",65,6.0,nm0628536,movie,Riverboat Rhythm,0.0,\N,65,Riverboat Rhythm,1946,"Comedy,Music,Romance",Joan Newton,1921,2012,actress,"tt0038343,tt0038886",25,40
