tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType,originalTitle,isAdult,endYear,runtimeMinutes,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0034275,1.0,nm0427452,Allan Jones,"tt0026778,tt0028249,tt0030108,tt0093818",34,2.0,nm0288078,movie,The Hard-Boiled Canary,0.0,\N,80.0,The Hard-Boiled Canary,1941,"Comedy,Music,Romance",Susanna Foster,1924,2009,"actress,soundtrack,archive_footage","tt0036261,tt0033666,tt0036715,tt0037717",17,17
tt0034364,2.0,nm0534045,Fred MacMurray,"tt0036775,tt0053604,tt0046816,tt0057518",33,1.0,nm0140914,movie,Virginia,0.0,\N,110.0,Virginia,1941,"Drama,Romance",Madeleine Carroll,1906,1987,"actress,archive_footage","tt0026029,tt0035100,tt0029442,tt0029057",35,-2
tt0034381,2.0,nm0137999,Richard Carlson,"tt0046876,tt0045920,tt0033836,tt0032520",29,1.0,nm0794297,movie,West Point Widow,0.0,\N,63.0,West Point Widow,1941,"Comedy,Romance",Anne Shirley,1918,1993,"actress,soundtrack,archive_footage","tt0037101,tt0033532,tt0029608,tt0021074",23,6
tt0034412,2.0,nm0875965,Orrin Tucker,"tt4276820,tt0034412,tt0048904,tt0073596",30,1.0,nm0048284,movie,You're the One,0.0,\N,83.0,You're the One,1941,"Comedy,Music,Romance",Bonnie Baker,1917,1990,"actress,soundtrack","tt4276820,tt0034412,tt0036382,tt0148560",24,6
tt0034467,1.0,nm0001537,Ray Milland,"tt0037884,tt0046912,tt0066011,tt0037415",35,2.0,nm0275897,movie,Are Husbands Necessary?,0.0,\N,79.0,Are Husbands Necessary?,1942,"Comedy,Mystery,Romance",Betty Field,1916,1973,"actress,soundtrack,archive_footage","tt0031742,tt0033409,tt0048491,tt0050839",26,9
tt0034736,2.0,nm0000034,William Holden,"tt0046359,tt0047437,tt0043014,tt0074958",24,1.0,nm0483787,movie,The Fleet's In,0.0,\N,93.0,The Fleet's In,1942,"Musical,Romance",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",28,-4
tt0034812,2.0,nm0566948,Joel McCrea,"tt0034240,tt0032484,tt0023238,tt0056412",36,1.0,nm0001766,movie,The Great Man's Lady,0.0,\N,90.0,The Great Man's Lady,1941,"Drama,Romance,Western",Barbara Stanwyck,1907,1990,"actress,soundtrack,archive_footage","tt0036775,tt0033373,tt0040823,tt0032080",34,2
tt0035019,2.0,nm0001537,Ray Milland,"tt0037884,tt0046912,tt0066011,tt0037415",35,1.0,nm0001677,movie,The Major and the Minor,0.0,\N,100.0,The Major and the Minor,1942,"Comedy,Romance",Ginger Rogers,1911,1995,"actress,soundtrack,archive_footage","tt0032671,tt0035019,tt0044916,tt0032946",31,4
tt0035094,2.0,nm0001890,Hugh Herbert,"tt0033397,tt0020953,tt0030202,tt0029541",58,1.0,nm0047810,movie,Mrs. Wiggs of the Cabbage Patch,0.0,\N,80.0,Mrs. Wiggs of the Cabbage Patch,1942,"Comedy,Drama,Romance",Fay Bainter,1893,1968,"actress,soundtrack,archive_footage","tt0030287,tt0054743,tt0038116,tt0030973",49,9
tt0035104,1.0,nm0137999,Richard Carlson,"tt0046876,tt0045920,tt0033836,tt0032520",30,2.0,nm0640930,movie,My Heart Belongs to Daddy,0.0,\N,75.0,My Heart Belongs to Daddy,1942,"Comedy,Romance",Martha O'Driscoll,1922,1998,"actress,soundtrack,archive_footage","tt0037793,tt0038203,tt0038364,tt0038490",20,10
tt0035169,2.0,nm0566948,Joel McCrea,"tt0034240,tt0032484,tt0023238,tt0056412",37,1.0,nm0001055,movie,The Palm Beach Story,0.0,\N,88.0,The Palm Beach Story,1942,"Comedy,Romance",Claudette Colbert,1903,1996,"actress,soundtrack,archive_footage","tt0025316,tt0036367,tt0029929,tt0037280",39,-2
