tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType_x,originalTitle_x,isAdult_x,endYear_x,runtimeMinutes_x,titleType_y,primaryTitle,originalTitle_y,isAdult_y,startYear,endYear_y,runtimeMinutes_y,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0038106,1.0,nm0719121,Duncan Renaldo,"tt0022495,tt0140551,tt0042093,tt0041280",41,3.0,nm0035467,movie,South of the Rio Grande,0.0,\N,62.0,movie,South of the Rio Grande,South of the Rio Grande,0,1945,\N,62,Western,Armida,1911,1989,"actress,soundtrack","tt0019711,tt0037033,tt0035943,tt0038320",34,7
tt0038113,1.0,nm0185568,Buster Crabbe,"tt0032290,tt0037115,tt0025755,tt0027623",37,3.0,nm0321657,movie,Stagecoach Outlaws,0.0,\N,58.0,movie,Stagecoach Outlaws,Stagecoach Outlaws,0,1945,\N,58,Western,Frances Gladwin,1920,1965,"actress,archive_footage","tt0035723,tt0037375,tt0038113,tt0036842",25,12
tt0038128,1.0,nm0113902,Johnny Mack Brown,"tt0039950,tt0030137,tt0034640,tt0029126",41,3.0,nm0336467,movie,Stranger from Santa Fe,0.0,\N,57.0,movie,Stranger from Santa Fe,Stranger from Santa Fe,0,1945,\N,57,"Drama,Western",Beatrice Gray,1911,2009,actress,"tt0038128,tt0037397,tt0037422,tt0038694",34,7
tt0038136,1.0,nm0001678,Roy Rogers,"tt0036725,tt1409024,tt0037018,tt0037535",34,4.0,nm0262661,movie,Sunset in El Dorado,0.0,\N,65.0,movie,Sunset in El Dorado,Sunset in El Dorado,0,1945,\N,65,Western,Dale Evans,1912,2001,"actress,soundtrack,archive_footage","tt0036725,tt0043225,tt0039157,tt0039914",33,1
tt0038168,1.0,nm0728811,Tex Ritter,"tt0028283,tt0044706,tt0139699,tt0095253",40,4.0,nm0588852,movie,Three in the Saddle,0.0,\N,61.0,movie,Three in the Saddle,Three in the Saddle,0,1945,\N,61,Western,Lorraine Miller,1922,1978,"actress,soundtrack,archive_footage","tt0038298,tt0037552,tt0035676,tt0037720",23,17
tt0038181,1.0,nm0485226,Allan Lane,"tt0054557,tt0031177,tt0037378,tt0032669",36,2.0,nm0830549,movie,The Topeka Terror,0.0,\N,55.0,movie,The Topeka Terror,The Topeka Terror,0,1945,\N,55,Western,Linda Stirling,1921,1997,"actress,archive_footage","tt0037895,tt0039511,tt0038644,tt0038007",24,12
tt0038185,1.0,nm0485226,Allan Lane,"tt0054557,tt0031177,tt0037378,tt0032669",36,2.0,nm0847911,movie,Trail of Kit Carson,0.0,\N,57.0,movie,Trail of Kit Carson,Trail of Kit Carson,0,1945,\N,57,Western,Helen Talbot,1924,2010,"actress,archive_footage","tt0037694,tt0038185,tt0037616,tt0210814",21,15
tt0038186,1.0,nm0335510,Kirby Grant,"tt0038580,tt0036861,tt0186722,tt0042050",34,3.0,nm0011037,movie,Trail to Vengeance,0.0,\N,54.0,movie,Trail to Vengeance,Trail to Vengeance,0,1945,\N,54,Western,Jane Adams,1918,2014,"actress,archive_footage","tt0041162,tt0041439,tt0037793,tt0038387",27,7
tt0038212,1.0,nm0001678,Roy Rogers,"tt0036725,tt1409024,tt0037018,tt0037535",34,4.0,nm0262661,movie,Utah,0.0,\N,77.0,movie,Utah,Utah,0,1945,\N,77,"Drama,Music,Western",Dale Evans,1912,2001,"actress,soundtrack,archive_footage","tt0036725,tt0043225,tt0039157,tt0039914",33,1
tt0038234,1.0,nm0254381,Bill Elliott,"tt0033313,tt0032940,tt0017979,tt0041453",41,3.0,nm0281596,movie,Wagon Wheels Westward,0.0,\N,56.0,movie,Wagon Wheels Westward,Wagon Wheels Westward,0,1945,\N,56,"Drama,Western",Alice Fleming,1882,1952,"actress,archive_footage","tt0163234,tt0217521,tt0037270,tt0038995",63,-22
