tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0151571,movie,Mikolás Ales,Mikolás Ales,0,1952,\N,120,"Biography,Drama"
tt0151586,movie,Mirza Sahiban,Mirza Sahiban,0,1947,\N,\N,"Drama,Romance"
tt0151635,movie,Moulin Rouge,Moulin Rouge,0,1940,\N,85,Musical
tt0151666,movie,The Mugger,The Mugger,0,1958,\N,74,"Crime,Drama,Thriller"
tt0151670,movie,Munna,Munna,0,1954,\N,139,\N
tt0151679,movie,Mutter sein dagegen sehr,Mutter sein dagegen sehr,0,1951,\N,94,Comedy
tt0151681,movie,My Ain Folk,My Ain Folk,0,1945,\N,75,Musical
tt0151687,movie,My Home Village,Nae kohyang,0,1949,\N,92,"Drama,War"
tt0151701,movie,Mysteries of Paris,Les mystères de Paris,0,1943,\N,89,"Adventure,Comedy,Drama"
tt0151707,movie,Na tý louce zelený,Na tý louce zelený,0,1940,\N,84,Comedy
tt0151711,movie,Nadaan,Nadaan,0,1943,\N,118,\N
tt0151727,movie,Naya Sansar,Naya Sansar,0,1941,\N,158,Drama
tt0151733,movie,Nehéz kesztyük,Nehéz kesztyük,0,1958,\N,90,"Drama,Sport"
tt0151739,movie,Dasineun geuleohge sal su eobsda,Dasineun geuleohge sal su eobsda,0,1956,\N,\N,\N
tt0151753,movie,A Night of Magic,A Night of Magic,0,1944,\N,55,"Comedy,Fantasy,Musical"
tt0151771,movie,No Room at the Inn,No Room at the Inn,0,1948,\N,63,"Drama,History"
tt0151785,movie,The Night Is My Kingdom,La nuit est mon royaume,0,1951,\N,110,Drama
tt0151810,movie,Okénko do nebe,Okénko do nebe,0,1940,\N,\N,Comedy
tt0151847,movie,Orang chon,Orang chon,0,1957,\N,87,"Drama,War"
tt0151856,movie,Our Construction,Our Construction,0,1946,\N,\N,Documentary
tt0151904,movie,La parda Flora,La parda Flora,0,1952,\N,\N,\N
tt0151917,movie,Pathey Holo Deri,Pathey Holo Deri,0,1957,\N,125,"Drama,Romance"
tt0151936,movie,El pendiente,El pendiente,0,1951,\N,72,Thriller
tt0151996,movie,Plavecký mariás,Plavecký mariás,0,1953,\N,85,Comedy
tt0152013,movie,Pohádka máje,Pohádka máje,0,1940,\N,88,Romance
tt0152046,movie,Poslední podskalák,Poslední podskalák,0,1940,\N,92,Comedy
tt0152051,movie,Poznej svého muze,Poznej svého muze,0,1940,\N,102,Comedy
tt0152058,movie,Prednosta stanice,Prednosta stanice,0,1941,\N,88,Comedy
tt0152061,movie,Prem Sangeet,Prem Sangeet,0,1943,\N,\N,\N
tt0152065,movie,I'll Be Right Over,Prijdu hned,0,1942,\N,93,Comedy
tt0152073,movie,The Princess with the Golden Star,Princezna se zlatou hvezdou,0,1959,\N,80,"Family,Fantasy,Romance"
tt0152082,movie,Pro kamaráda,Pro kamaráda,0,1940,\N,\N,Drama
tt0152090,movie,"Prosím, pane profesore!","Prosím, pane profesore!",0,1940,\N,\N,\N
tt0152093,movie,Prulom,Prulom,0,1946,\N,93,Drama
tt0152111,movie,The Poacher's Foster Daughter or Noble Millionaire,Pytlákova schovanka aneb Slechetný milionár,0,1949,\N,117,"Comedy,Musical"
tt0152133,movie,Rahi,Rahi,0,1953,\N,139,Drama
tt0152143,movie,Rapide de nuit,Rapide de nuit,0,1948,\N,80,\N
tt0152184,movie,Revolucni rok 1848,Revolucni rok 1848,0,1949,\N,126,"Drama,History"
tt0152189,movie,Righteous War,Righteous War,0,1951,\N,\N,\N
tt0152197,movie,The Road of Happiness,Haengbog-ui gil,0,1956,\N,\N,Drama
tt0152223,movie,Romance de Paris,Romance de Paris,0,1941,\N,110,Musical
tt0152228,movie,Roohi,Roohi,0,1954,\N,\N,\N
tt0152238,movie,Charming Fellow,Roztomilý clovek,0,1941,\N,86,Comedy
tt0152244,movie,Rukavicka,Rukavicka,0,1941,\N,107,"Comedy,Romance"
tt0152245,movie,Rumors,Rumeurs,0,1947,\N,90,Drama
tt0152258,movie,Sabyasachi,Sabyasachi,0,1948,\N,\N,Drama
tt0152267,movie,Sahara,Sahara,0,1943,\N,\N,\N
tt0152272,movie,Saloni,Saloni,0,1952,\N,\N,Drama
tt0152276,movie,Samapika,Samapika,0,1948,\N,\N,Drama
tt0152283,movie,Sankalpa,Sankalpa,0,1949,\N,\N,Drama
tt0152289,movie,Sassi Punnu,Sassi Punnu,0,1946,\N,\N,\N
tt0152296,movie,Hit Parade,Schlagerparade,0,1953,\N,100,"Comedy,Music"
tt0152305,movie,Das schwarze Schaf,Das schwarze Schaf,0,1944,\N,\N,\N
tt0152311,movie,Scouts,Jeongchalbyeong,0,1953,\N,87,"Drama,War"
tt0152382,movie,El juramento de Lagardere,El juramento de Lagardere,0,1955,\N,\N,\N
tt0152386,movie,Shahzadi,Shahzadi,0,1941,\N,\N,\N
tt0152416,movie,Shoharat,Shoharat,0,1956,\N,\N,\N
tt0152491,movie,Sneh Bandhan,Sneh Bandhan,0,1940,\N,\N,\N
tt0152508,movie,Suhagan,Suhagan,0,1942,\N,151,"Drama,Family"
tt0152608,movie,Street of Darkness,Street of Darkness,0,1958,\N,60,"Crime,Drama"
tt0152702,movie,Surya Toran,Surya Toran,0,1958,\N,\N,Drama
tt0152727,movie,Swapna-o-Sadhana,Swapna-o-Sadhana,0,1947,\N,\N,Drama
tt0152789,movie,Sons of the Mountains,Synove hor,0,1956,\N,96,"Biography,Drama"
tt0152798,movie,Serenade of Texas,Sérénade au Texas,0,1958,\N,98,"Musical,Western"
tt0152976,movie,Thunder Over Paris,Tempête,0,1940,\N,97,Drama
tt0152994,movie,Auntie's Fantasies,Teticka,0,1941,\N,78,Comedy
tt0153093,movie,Tijuana After Midnite,Tijuana After Midnite,0,1954,\N,58,Comedy
tt0153099,movie,Time Is My Enemy,Time Is My Enemy,0,1954,\N,64,"Crime,Drama"
tt0153128,movie,To byl ceský muzikant,To byl ceský muzikant,0,1940,\N,113,"Drama,Music"
tt0153129,movie,To mistenkelige personer,To mistenkelige personer,0,1950,\N,92,"Crime,Drama"
tt0153323,movie,Tu m'as sauvé la vie,Tu m'as sauvé la vie,0,1950,\N,85,Comedy
tt0153331,movie,The Tunnel,El túnel,0,1952,\N,94,Drama
tt0153398,movie,Uljhan,Uljhan,0,1942,\N,\N,\N
tt0153477,movie,Thunder in the Hills,V horách duní,0,1946,\N,79,"Drama,War"
tt0153484,movie,Valentin the Good,Valentin Dobrotivý,0,1942,\N,100,Comedy
tt0153502,movie,Veena,Veena,0,1948,\N,\N,\N
tt0153524,movie,The Merry Duel,Vesely souboj,0,1951,\N,93,Comedy
