tconst,ordering,nconst,primaryTitle,startYear,genres,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,age
tt0033379,3.0,nm0686032,The Bashful Bachelor,1942,Comedy,Zasu Pitts,1894,1963,"actress,soundtrack,archive_footage","tt0015881,tt0057193,tt0026955,tt0032847",48
tt0033401,2.0,nm0242562,Scattergood Meets Broadway,1941,"Comedy,Drama",Emma Dunn,1874,1966,"actress,soundtrack,archive_footage","tt0031951,tt0026978,tt0032553,tt0040974",67
tt0033467,4.0,nm0173827,Citizen Kane,1941,"Drama,Mystery",Dorothy Comingore,1913,1971,"actress,soundtrack,archive_footage","tt0033467,tt0031733,tt0032296,tt0030007",28
tt0033478,2.0,nm0623610,Come on Danger,1942,"Drama,Music,Western",Frances E. Neal,1920,1988,"actress,archive_footage","tt0033805,tt0033478,tt0035205,tt0043208",22
tt0033505,2.0,nm0721851,Cyclone on Horseback,1941,"Drama,Western",Marjorie Reynolds,1917,1997,"actress,soundtrack,archive_footage","tt0039037,tt0034862,tt0032404,tt0043643",24
tt0033511,2.0,nm0336931,Suicide Squadron,1941,"Drama,Romance,War",Sally Gray,1915,2006,"actress,soundtrack","tt0034146,tt0031891,tt0032688,tt0038577",26
tt0033517,3.0,nm0057412,A Date with the Falcon,1942,"Crime,Drama,Film-Noir",Wendy Barrie,1912,1978,"actress,soundtrack,archive_footage","tt0033650,tt0031890,tt0033517,tt0033013",30
tt0033532,3.0,nm0002034,The Devil and Daniel Webster,1941,"Drama,Fantasy,Romance",Jane Darwell,1879,1967,"actress,archive_footage","tt0032551,tt0036244,tt0031381,tt0038762",62
tt0033533,1.0,nm0000795,The Devil and Miss Jones,1941,"Comedy,Romance",Jean Arthur,1900,1991,"actress,soundtrack,archive_footage","tt0030993,tt0031679,tt0046303,tt0036172",41
tt0033560,2.0,nm0721851,Dude Cowboy,1941,"Drama,Music,Western",Marjorie Reynolds,1917,1997,"actress,soundtrack,archive_footage","tt0039037,tt0034862,tt0032404,tt0043643",24
tt0033563,13.0,nm0271658,Dumbo,1941,"Adventure,Animation,Drama",Verna Felton,1890,1966,"actress,soundtrack,archive_footage","tt0053285,tt0043274,tt0048280,tt0042332",51
tt0033587,4.0,nm0238565,The Fargo Kid,1940,"Drama,Western",Jane Drummond,1916,\N,actress,"tt0033587,tt0033273",24
tt0033592,2.0,nm0841797,Father Takes a Wife,1941,"Comedy,Romance",Gloria Swanson,1899,1983,"actress,producer,costume_designer","tt0043014,tt0019344,tt0014636,tt0020514",42
tt0033615,3.0,nm0728230,Footlight Fever,1941,"Comedy,Romance",Elisabeth Risdon,1888,1958,"actress,soundtrack,archive_footage","tt0032181,tt0033717,tt0031641,tt0045125",53
tt0033650,2.0,nm0057412,The Gay Falcon,1941,"Crime,Film-Noir,Mystery",Wendy Barrie,1912,1978,"actress,soundtrack,archive_footage","tt0033650,tt0031890,tt0033517,tt0033013",29
tt0033733,2.0,nm0171328,"Hurry, Charlie, Hurry",1941,Comedy,Mildred Coles,1920,1995,actress,"tt0041187,tt0040574,tt0040286,tt0163265",21
tt0033765,2.0,nm0842677,It Happened to One Man,1940,Drama,Nora Swinburne,1902,2000,"actress,archive_footage","tt0043949,tt0039509,tt0036814,tt0041247",38
tt0033805,2.0,nm0000752,Lady Scarface,1941,"Comedy,Crime,Drama",Judith Anderson,1897,1992,"actress,soundtrack,archive_footage","tt0032976,tt0088170,tt0037008,tt0051459",44
tt0033810,3.0,nm0907228,Land of the Open Range,1942,"Drama,Western",Janet Waldo,1919,2016,"actress,soundtrack,archive_footage","tt0055683,tt0070544,tt0173587,tt0083481",23
tt0033836,1.0,nm0000012,The Little Foxes,1941,"Drama,Romance",Bette Davis,1908,1989,"actress,make_up_department,producer","tt0042192,tt0056687,tt0031210,tt0035140",33
tt0033850,4.0,nm0430090,Look Who's Laughing,1941,"Adventure,Comedy",Marian Jordan,1898,1961,"actress,soundtrack,archive_footage","tt0036902,tt0033850,tt0029663,tt0034847",43
tt0033898,2.0,nm0942039,Melody for Three,1941,Drama,Fay Wray,1907,2004,"actress,writer,camera_department","tt0024216,tt0023238,tt0022827,tt0024368",34
tt0033907,1.0,nm0892473,The Mexican Spitfire's Baby,1941,Comedy,Lupe Velez,1908,1944,"actress,soundtrack,archive_footage","tt0031370,tt0031641,tt0020074,tt0034867",33
tt0033922,1.0,nm0001479,Mr. & Mrs. Smith,1941,"Comedy,Romance",Carole Lombard,1908,1942,"actress,soundtrack,archive_footage","tt0028010,tt0035446,tt0029322,tt0026452",33
tt0033932,2.0,nm0496819,My Life with Caroline,1941,"Comedy,Romance",Anna Lee,1913,2004,"actress,soundtrack,archive_footage","tt0059742,tt0056687,tt0056758,tt0033729",28
tt0033968,1.0,nm0140863,Obliging Young Lady,1942,"Comedy,Romance",Joan Carroll,1931,2016,"actress,archive_footage","tt0037059,tt0033968,tt0032946,tt0037536",11
tt0034000,2.0,nm0446715,Parachute Battalion,1941,"Drama,Romance,War",Nancy Kelly,1921,1995,"actress,soundtrack,archive_footage","tt0048977,tt0031507,tt0035795,tt0032873",20
tt0034033,3.0,nm0892473,Playmates,1941,"Comedy,Music",Lupe Velez,1908,1944,"actress,soundtrack,archive_footage","tt0031370,tt0031641,tt0020074,tt0034867",33
tt0034091,2.0,nm0317519,The Reluctant Dragon,1941,"Animation,Comedy,Family",Frances Gifford,1920,1994,"actress,archive_footage","tt0036414,tt0034798,tt0032602,tt0033776",21
tt0034094,2.0,nm0057412,Repent at Leisure,1941,"Drama,Romance",Wendy Barrie,1912,1978,"actress,soundtrack,archive_footage","tt0033650,tt0031890,tt0033517,tt0033013",29
tt0034109,3.0,nm0054060,Riding the Wind,1942,"Drama,Western",Joan Barclay,1914,2002,"actress,archive_footage","tt0028241,tt0140551,tt0028637,tt0038080",28
tt0034119,2.0,nm0883922,Robbers of the Range,1941,"Drama,Western",Virginia Vale,1920,2006,"actress,soundtrack,archive_footage","tt0033399,tt0033185,tt0034550,tt0032292",21
tt0034145,3.0,nm0057412,The Saint in Palm Springs,1940,"Crime,Drama,Mystery",Wendy Barrie,1912,1978,"actress,soundtrack,archive_footage","tt0033650,tt0031890,tt0033517,tt0033013",28
tt0034146,2.0,nm0336931,The Saint's Vacation,1941,"Comedy,Crime,Drama",Sally Gray,1915,2006,"actress,soundtrack","tt0034146,tt0031891,tt0032688,tt0038577",26
tt0034154,2.0,nm0400490,Scattergood Baines,1941,"Comedy,Drama",Carol Hughes,1910,1995,"actress,soundtrack,archive_footage","tt0032274,tt0032475,tt0030193,tt0029475",31
tt0034155,3.0,nm0676688,Scattergood Pulls the Strings,1941,Comedy,Susan Peters,1921,1952,"actress,soundtrack,archive_footage","tt0035238,tt0040785,tt0034680,tt0036552",20
tt0034195,3.0,nm0165715,Six-Gun Gold,1941,Western,Jan Clayton,1917,1983,"actress,soundtrack,archive_footage","tt0046617,tt0038163,tt0032476,tt1478608",24
tt0034243,1.0,nm0623554,Sunny,1941,"Musical,Romance",Anna Neagle,1904,1986,"actress,producer,soundtrack","tt0039281,tt0043871,tt0029734,tt0032847",37
tt0034248,2.0,nm0000021,Suspicion,1941,"Film-Noir,Mystery,Thriller",Joan Fontaine,1917,2013,"actress,producer,soundtrack","tt0034248,tt0032976,tt0035751,tt0036969",24
tt0034278,1.0,nm0623554,Wings and the Woman,1942,"Biography,Drama",Anna Neagle,1904,1986,"actress,producer,soundtrack","tt0039281,tt0043871,tt0029734,tt0032847",38
tt0034279,2.0,nm0522662,They Meet Again,1941,"Drama,Musical",Dorothy Lovett,1915,1998,"actress,soundtrack","tt0032980,tt0034279,tt0032411,tt0031635",26
tt0034280,1.0,nm0000058,They Met in Argentina,1941,"Comedy,Musical,Romance",Maureen O'Hara,1920,2015,"actress,soundtrack,archive_footage","tt0045061,tt0039628,tt0055277,tt0033729",21
tt0034290,4.0,nm0910294,Thundering Hoofs,1942,"Drama,Music,Western",Luana Walters,1912,1963,"actress,archive_footage","tt0034613,tt0028241,tt0032420,tt0028589",30
tt0034299,1.0,nm0001677,"Tom, Dick and Harry",1941,Comedy,Ginger Rogers,1911,1995,"actress,soundtrack,archive_footage","tt0032671,tt0035019,tt0044916,tt0032946",30
tt0034339,1.0,nm0794297,Unexpected Uncle,1941,"Comedy,Drama",Anne Shirley,1918,1993,"actress,soundtrack,archive_footage","tt0037101,tt0033532,tt0029608,tt0021074",23
tt0034473,2.0,nm0943553,Army Surgeon,1942,"Drama,Romance,War",Jane Wyatt,1910,2006,"actress,soundtrack,archive_footage","tt0092007,tt0046600,tt0040695,tt0029162",32
tt0034492,5.0,nm1027883,Bambi,1942,"Adventure,Animation,Drama",Bobette Audrey,1931,2007,actress,\N,11
tt0034494,3.0,nm0054060,Bandit Ranger,1942,"Drama,Music,Western",Joan Barclay,1914,2002,"actress,archive_footage","tt0028241,tt0140551,tt0028637,tt0038080",28
tt0034514,2.0,nm0000840,The Big Street,1942,"Drama,Music,Romance",Lucille Ball,1911,1989,"producer,actress,production_manager","tt0043208,tt0055686,tt0062570,tt0047191",31
tt0034567,3.0,nm0001931,Call Out the Marines,1942,"Comedy,Music,War",Binnie Barnes,1903,1998,"actress,producer,soundtrack","tt0039037,tt0038108,tt0024473,tt0028373",39
tt0034587,1.0,nm0800386,Cat People,1942,"Fantasy,Horror,Thriller",Simone Simon,1911,2005,"actress,soundtrack,archive_footage","tt0034587,tt0036733,tt0037034,tt0029957",31
tt0034716,2.0,nm0054609,The Falcon Takes Over,1942,"Comedy,Crime,Mystery",Lynn Bari,1919,1989,"actress,soundtrack,archive_footage","tt0036672,tt0034716,tt0029899,tt0038782",23
tt0034717,3.0,nm0709905,The Falcon's Brother,1942,"Crime,Drama,Film-Noir",Jane Randolph,1914,2009,"actress,miscellaneous,archive_footage","tt0034587,tt0040068,tt0034717,tt0035854",28
tt0034734,3.0,nm0424228,Spitfire,1942,"Adventure,Biography,Drama",Rosamund John,1913,1998,"actress,soundtrack,archive_footage","tt0037352,tt0034734,tt0038577,tt0177218",29
tt0034751,2.0,nm0794297,Four Jacks and a Jill,1942,"Comedy,Music,Romance",Anne Shirley,1918,1993,"actress,soundtrack,archive_footage","tt0037101,tt0033532,tt0029608,tt0021074",24
tt0034810,2.0,nm0002034,The Great Gildersleeve,1942,"Adventure,Comedy,Romance",Jane Darwell,1879,1967,"actress,archive_footage","tt0032551,tt0036244,tt0031381,tt0038762",63
tt0034847,2.0,nm0430090,Here We Go Again,1942,Comedy,Marian Jordan,1898,1961,"actress,soundtrack,archive_footage","tt0036902,tt0033850,tt0029663,tt0034847",44
tt0034853,2.0,nm0709905,Highways by Night,1942,"Adventure,Comedy,Crime",Jane Randolph,1914,2009,"actress,miscellaneous,archive_footage","tt0034587,tt0040068,tt0034717,tt0035854",28
tt0034856,2.0,nm0335748,Hitler's Children,1943,"Drama,Romance,War",Bonita Granville,1923,1988,"producer,actress,director","tt0035140,tt0030442,tt0030491,tt0028356",20
tt0034919,1.0,nm0006807,Joan of Paris,1942,"Drama,Romance,War",Michèle Morgan,1920,2016,"actress,archive_footage,archive_sound","tt0039004,tt0030643,tt0040338,tt0038409",22
tt0035015,3.0,nm0182537,The Magnificent Ambersons,1942,"Drama,Romance",Dolores Costello,1903,1979,"actress,soundtrack,archive_footage","tt0017354,tt0035015,tt0018218,tt0017973",39
tt0035048,2.0,nm0794297,The Mayor of 44th Street,1942,Drama,Anne Shirley,1918,1993,"actress,soundtrack,archive_footage","tt0037101,tt0033532,tt0029608,tt0021074",24
tt0035059,1.0,nm0892473,Mexican Spitfire Sees a Ghost,1942,Comedy,Lupe Velez,1908,1944,"actress,soundtrack,archive_footage","tt0031370,tt0031641,tt0020074,tt0034867",34
tt0035060,1.0,nm0892473,Mexican Spitfire at Sea,1942,Comedy,Lupe Velez,1908,1944,"actress,soundtrack,archive_footage","tt0031370,tt0031641,tt0020074,tt0034867",34
tt0035061,1.0,nm0892473,Mexican Spitfire's Elephant,1942,"Comedy,Romance",Lupe Velez,1908,1944,"actress,soundtrack,archive_footage","tt0031370,tt0031641,tt0020074,tt0034867",34
tt0035102,2.0,nm0237655,My Favorite Spy,1942,"Comedy,Musical",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",28
tt0035113,3.0,nm0943553,The Navy Comes Through,1942,"Drama,War",Jane Wyatt,1910,2006,"actress,soundtrack,archive_footage","tt0092007,tt0046600,tt0040695,tt0029162",32
tt0035151,1.0,nm0001677,Once Upon a Honeymoon,1942,"Adventure,Comedy,Drama",Ginger Rogers,1911,1995,"actress,soundtrack,archive_footage","tt0032671,tt0035019,tt0044916,tt0032946",31
tt0035193,3.0,nm0640605,Pirates of the Prairie,1942,"Drama,Music,Western",Nell O'Day,1909,1989,"actress,writer,soundtrack","tt0025725,tt0036305,tt0033819,tt0036437",33
tt0035205,3.0,nm0369896,Powder Town,1942,"Comedy,Drama",June Havoc,1912,2010,"actress,soundtrack,archive_footage","tt0039416,tt0040478,tt0035996,tt0361748",30
tt0035211,2.0,nm0942863,The Pride of the Yankees,1942,"Biography,Drama,Romance",Teresa Wright,1918,2005,"actress,soundtrack,archive_footage","tt0036342,tt0036868,tt0035093,tt0081534",24
tt0035282,3.0,nm0054060,Sagebrush Law,1943,"Drama,Western",Joan Barclay,1914,2002,"actress,archive_footage","tt0028241,tt0140551,tt0028637,tt0038080",29
tt0035292,3.0,nm0601141,Scattergood Rides High,1942,"Comedy,Drama",Dorothy Moore,1919,2005,"actress,archive_footage","tt0031107,tt0032528,tt0168508,tt0030184",23
tt0035293,3.0,nm0371135,Scattergood Survives a Murder,1942,"Adventure,Comedy,Crime",Margaret Hayes,1916,1977,"actress,miscellaneous,archive_footage","tt0034240,tt0048790,tt0034798,tt0049027",26
tt0035307,2.0,nm0000840,Seven Days' Leave,1942,"Comedy,Musical,Romance",Lucille Ball,1911,1989,"producer,actress,production_manager","tt0043208,tt0055686,tt0062570,tt0047191",31
tt0035308,2.0,nm0335748,Seven Miles from Alcatraz,1942,"Action,Drama,Thriller",Bonita Granville,1923,1988,"producer,actress,director","tt0035140,tt0030442,tt0030491,tt0028356",19
tt0035338,2.0,nm0369896,Sing Your Worries Away,1942,"Comedy,Musical,Mystery",June Havoc,1912,2010,"actress,soundtrack,archive_footage","tt0039416,tt0040478,tt0035996,tt0361748",30
tt0035374,2.0,nm0245304,Squadron Leader X,1943,"Drama,War",Ann Dvorak,1911,1979,"actress,miscellaneous,soundtrack","tt0023427,tt0028695,tt0026393,tt0023590",32
tt0035405,4.0,nm0098333,Syncopation,1942,"Comedy,History,Music",Connee Boswell,1907,1976,"actress,soundtrack,archive_footage","tt0052181,tt0039003,tt0025520,tt0174513",35
tt0035477,3.0,nm0236990,The Tuttles of Tahiti,1942,"Adventure,Comedy,Romance",Peggy Drake,1922,2014,actress,"tt0035477,tt0034944",20
