tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType,originalTitle,isAdult,endYear,runtimeMinutes,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F
tt0033272,2.0,nm0656745,Robert Paige,"tt0036376,tt0030234,tt0031324,tt0029223",30,1.0,nm0237655,movie,Women Without Names,0.0,\N,62,Women Without Names,1940,"Crime,Drama,Romance",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",26
tt0033331,2.0,nm0355755,Jon Hall,"tt0036959,tt0034902,tt0034465,tt0040710",26,1.0,nm0483787,movie,Aloma of the South Seas,0.0,\N,78.0,Aloma of the South Seas,1941,Drama,Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",27
tt0033337,1.0,nm0215260,Albert Dekker,"tt0065214,tt0048261,tt0032412,tt0039416",36,3.0,nm0001333,movie,Among the Living,0.0,\N,67.0,Among the Living,1941,"Drama,Film-Noir,Mystery",Susan Hayward,1917,1975,"actress,soundtrack,archive_footage","tt0045333,tt0051758,tt0048191,tt0041672",24
tt0033372,2.0,nm0001330,Sterling Hayden,"tt0057012,tt0049406,tt0068646,tt0042208",25,1.0,nm0140914,movie,Bahama Passage,0.0,\N,82.0,Bahama Passage,1941,"Drama,Romance",Madeleine Carroll,1906,1987,"actress,archive_footage","tt0026029,tt0035100,tt0029442,tt0029057",35
tt0033396,1.0,nm0001078,Bing Crosby,"tt0047673,tt0049314,tt0036872,tt0046874",38,2.0,nm0552756,movie,Birth of the Blues,0.0,\N,87,Birth of the Blues,1941,"History,Music,Romance",Mary Martin,1913,1990,"actress,miscellaneous,producer","tt0054176,tt0046637,tt0036461,tt0033396",28
tt0033425,1.0,nm0101955,William Boyd,"tt0024018,tt0027415,tt0040787,tt0022243",46,4.0,nm0317519,movie,Border Vigilantes,0.0,\N,63,Border Vigilantes,1941,Western,Frances Gifford,1920,1994,"actress,archive_footage","tt0036414,tt0034798,tt0032602,tt0033776",21
tt0033442,1.0,nm0634313,Lloyd Nolan,"tt0091167,tt0062575,tt0065377,tt0071455",39,2.0,nm0601073,movie,Buy Me That Town,0.0,\N,70,Buy Me That Town,1941,"Comedy,Drama,Mystery",Constance Moore,1920,2005,"actress,soundtrack,archive_footage","tt0036619,tt0032290,tt0037636,tt0033442",21
tt0033455,1.0,nm0001362,Bob Hope,"tt0032520,tt0031143,tt0039645,tt0045094",38,2.0,nm0483787,movie,Caught in the Draft,0.0,\N,82,Caught in the Draft,1941,Comedy,Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",27
tt0033546,1.0,nm0101955,William Boyd,"tt0024018,tt0027415,tt0040787,tt0022243",46,4.0,nm0326809,movie,Doomed Caravan,0.0,\N,62.0,Doomed Caravan,1941,"Drama,Western",Minna Gombell,1892,1973,"actress,archive_footage","tt0025878,tt0029923,tt0036868,tt0029192",49
tt0033611,1.0,nm0035159,Richard Arlen,"tt0024188,tt0018578,tt0021070,tt0031661",42,2.0,nm0662335,movie,Flying Blind,0.0,\N,69.0,Flying Blind,1941,"Comedy,Drama",Jean Parker,1915,2005,"actress,soundtrack,archive_footage","tt0024264,tt0042531,tt0035453,tt0036653",26
