tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F
tt0033467,1.0,nm0000080,Orson Welles,"tt0033467,tt0052311,tt0040525,tt0057427",26,4.0,nm0173827,Citizen Kane,1941,"Drama,Mystery",Dorothy Comingore,1913,1971,"actress,soundtrack,archive_footage","tt0033467,tt0031733,tt0032296,tt0030007",28
tt0033478,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",23,2.0,nm0623610,Come on Danger,1942,"Drama,Music,Western",Frances E. Neal,1920,1988,"actress,archive_footage","tt0033805,tt0033478,tt0035205,tt0043208",22
tt0033505,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",22,2.0,nm0721851,Cyclone on Horseback,1941,"Drama,Western",Marjorie Reynolds,1917,1997,"actress,soundtrack,archive_footage","tt0039037,tt0034862,tt0032404,tt0043643",24
tt0033511,1.0,nm0906932,Anton Walbrook,"tt0040725,tt0036112,tt0031359,tt0033627",45,2.0,nm0336931,Suicide Squadron,1941,"Drama,Romance,War",Sally Gray,1915,2006,"actress,soundtrack","tt0034146,tt0031891,tt0032688,tt0038577",26
tt0033517,1.0,nm0001695,George Sanders,"tt0042192,tt0032976,tt0037988,tt0033873",36,3.0,nm0057412,A Date with the Falcon,1942,"Crime,Drama,Film-Noir",Wendy Barrie,1912,1978,"actress,soundtrack,archive_footage","tt0033650,tt0031890,tt0033517,tt0033013",30
tt0033532,1.0,nm0036427,Edward Arnold,"tt0030993,tt0031679,tt0033532,tt0033891",51,3.0,nm0002034,The Devil and Daniel Webster,1941,"Drama,Fantasy,Romance",Jane Darwell,1879,1967,"actress,archive_footage","tt0032551,tt0036244,tt0031381,tt0038762",62
tt0033533,2.0,nm0191950,Robert Cummings,"tt0046912,tt0035279,tt0047752,tt0039583",31,1.0,nm0000795,The Devil and Miss Jones,1941,"Comedy,Romance",Jean Arthur,1900,1991,"actress,soundtrack,archive_footage","tt0030993,tt0031679,tt0046303,tt0036172",41
tt0033560,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",22,2.0,nm0721851,Dude Cowboy,1941,"Drama,Music,Western",Marjorie Reynolds,1917,1997,"actress,soundtrack,archive_footage","tt0039037,tt0034862,tt0032404,tt0043643",24
tt0033563,1.0,nm0001359,Sterling Holloway,"tt0076363,tt0061852,tt0043274,tt0065421",36,13.0,nm0271658,Dumbo,1941,"Adventure,Animation,Drama",Verna Felton,1890,1966,"actress,soundtrack,archive_footage","tt0053285,tt0043274,tt0048280,tt0042332",51
tt0033587,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",21,4.0,nm0238565,The Fargo Kid,1940,"Drama,Western",Jane Drummond,1916,\N,actress,"tt0033587,tt0033273",24
