tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0051516,movie,Damn Yankees,Damn Yankees,0,1958,\N,111,"Comedy,Musical,Romance"
tt0051517,movie,A Dangerous Age,A Dangerous Age,0,1957,\N,71,Drama
tt0051519,movie,Darby's Rangers,Darby's Rangers,0,1958,\N,121,"Action,Drama,War"
tt0051520,movie,That Won't Keep a Sailor Down,Das haut einen Seemann doch nicht um,0,1958,\N,94,"Comedy,Drama"
tt0051521,movie,It Only Happened Once,Das gab's nur einmal,0,1958,\N,105,Drama
tt0051522,movie,Day of the Bad Man,Day of the Badman,0,1958,\N,81,Western
tt0051524,movie,The Decks Ran Red,The Decks Ran Red,0,1958,\N,84,"Adventure,Crime,Drama"
tt0051525,movie,The Defiant Ones,The Defiant Ones,0,1958,\N,96,"Crime,Drama"
tt0051526,movie,Del cuplé al tango,Del cuplé al tango,0,1958,\N,106,\N
tt0051527,movie,The Variegateds Case,Delo Pyostrykh,0,1958,\N,102,"Action,Crime"
tt0051528,movie,El derecho a la vida,El derecho a la vida,0,1959,\N,98,Drama
tt0051530,movie,The Challenge,La sfida,0,1958,\N,87,"Crime,Drama"
tt0051531,movie,Desert Hell,Desert Hell,0,1958,\N,82,"Adventure,War"
tt0051532,movie,Desert Patrol,Sea of Sand,0,1958,\N,78,"Action,Drama,War"
tt0051533,movie,Touha,Touha,0,1958,\N,95,Drama
tt0051534,movie,Desire Under the Elms,Desire Under the Elms,0,1958,\N,111,"Drama,Romance"
tt0051535,movie,Deszczowy lipiec,Deszczowy lipiec,0,1958,\N,88,"Comedy,Drama"
tt0051537,movie,Dezerter,Dezerter,0,1958,\N,79,"Drama,Thriller,War"
tt0051538,movie,Ten Ready Rifles,Diez fusiles esperan,0,1959,\N,89,"Drama,Romance,War"
tt0051539,movie,"Jamila, the Algerian",Djamilah,0,1958,\N,123,"Biography,Drama,History"
tt0051540,movie,The Sea Is Kind,Dobro morje,0,1958,\N,94,Drama
tt0051541,movie,Dobrovoltsy,Dobrovoltsy,0,1958,\N,97,"Drama,War"
tt0051542,movie,Corridors of Blood,Corridors of Blood,0,1958,\N,86,"Crime,Horror,Thriller"
tt0051545,movie,Sunday Is Always Sunday,Domenica è sempre domenica,0,1958,\N,90,Comedy
tt0051546,movie,The Last Adventure of Don Juan,Don Juan legutolsó kalandja,0,1958,\N,92,Drama
tt0051548,movie,Mein Mädchen ist ein Postillion,Mein Mädchen ist ein Postillion,0,1958,\N,79,Comedy
tt0051549,movie,Dorogoy tsenoy,Dorogoy tsenoy,0,1957,\N,98,Drama
tt0051550,movie,Dorogoy moy chelovek,Dorogoy moy chelovek,0,1958,\N,105,"Drama,Romance,War"
tt0051551,movie,A Matter of Minutes,Dorothea Angermann,0,1959,\N,106,Drama
tt0051552,movie,Village by the River,Dorp aan de rivier,0,1958,\N,92,Drama
tt0051554,movie,Horror of Dracula,Dracula,0,1958,\N,82,"Drama,Horror"
tt0051555,movie,Dragstrip Riot,Dragstrip Riot,0,1958,\N,68,"Action,Drama"
tt0051556,movie,Das Dreimäderlhaus,Das Dreimäderlhaus,0,1958,\N,102,"Drama,Romance"
tt0051557,movie,13 kleine Esel und der Sonnenhof,13 kleine Esel und der Sonnenhof,0,1958,\N,97,Comedy
