tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType,originalTitle,isAdult,endYear,runtimeMinutes,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0033981,1.0,nm0534045,Fred MacMurray,"tt0036775,tt0053604,tt0046816,tt0057518",33,2.0,nm0140914,movie,One Night in Lisbon,0.0,\N,97.0,One Night in Lisbon,1941,Comedy,Madeleine Carroll,1906,1987,"actress,archive_footage","tt0026029,tt0035100,tt0029442,tt0029057",35,-2
tt0034116,1.0,nm0001078,Bing Crosby,"tt0047673,tt0049314,tt0036872,tt0046874",38,3.0,nm0483787,movie,Road to Zanzibar,0.0,\N,91.0,Road to Zanzibar,1941,"Adventure,Comedy,Musical",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",27,11
tt0034198,2.0,nm0001537,Ray Milland,"tt0037884,tt0046912,tt0066011,tt0037415",34,1.0,nm0001055,movie,Skylark,0.0,\N,92.0,Skylark,1941,"Comedy,Romance",Claudette Colbert,1903,1996,"actress,soundtrack,archive_footage","tt0025316,tt0036367,tt0029929,tt0037280",38,-4
tt0034240,1.0,nm0566948,Joel McCrea,"tt0034240,tt0032484,tt0023238,tt0056412",36,2.0,nm0000043,movie,Sullivan's Travels,0.0,\N,90.0,Sullivan's Travels,1941,"Adventure,Comedy,Drama",Veronica Lake,1922,1973,"actress,producer,soundtrack","tt0034240,tt0038369,tt0035432,tt0034881",19,17
tt0034275,1.0,nm0427452,Allan Jones,"tt0026778,tt0028249,tt0030108,tt0093818",34,2.0,nm0288078,movie,The Hard-Boiled Canary,0.0,\N,80.0,The Hard-Boiled Canary,1941,"Comedy,Music,Romance",Susanna Foster,1924,2009,"actress,soundtrack,archive_footage","tt0036261,tt0033666,tt0036715,tt0037717",17,17
tt0034381,2.0,nm0137999,Richard Carlson,"tt0046876,tt0045920,tt0033836,tt0032520",29,1.0,nm0794297,movie,West Point Widow,0.0,\N,63.0,West Point Widow,1941,"Comedy,Romance",Anne Shirley,1918,1993,"actress,soundtrack,archive_footage","tt0037101,tt0033532,tt0029608,tt0021074",23,6
tt0034402,1.0,nm0000858,John Barrymore,"tt0025919,tt0022958,tt0017354,tt0014702",59,2.0,nm0002068,movie,World Premiere,0.0,\N,71.0,World Premiere,1941,Comedy,Frances Farmer,1913,1970,"actress,writer,soundtrack","tt0032481,tt0029675,tt0035360,tt0028817",28,31
tt0034412,2.0,nm0875965,Orrin Tucker,"tt4276820,tt0034412,tt0048904,tt0073596",30,1.0,nm0048284,movie,You're the One,0.0,\N,83.0,You're the One,1941,"Comedy,Music,Romance",Bonnie Baker,1917,1990,"actress,soundtrack","tt4276820,tt0034412,tt0036382,tt0148560",24,6
tt0034467,1.0,nm0001537,Ray Milland,"tt0037884,tt0046912,tt0066011,tt0037415",35,2.0,nm0275897,movie,Are Husbands Necessary?,0.0,\N,79.0,Are Husbands Necessary?,1942,"Comedy,Mystery,Romance",Betty Field,1916,1973,"actress,soundtrack,archive_footage","tt0031742,tt0033409,tt0048491,tt0050839",26,9
tt0034510,2.0,nm0219396,Richard Denning,"tt0050105,tt0050197,tt0046876,tt0047960",28,1.0,nm0483787,movie,Beyond the Blue Horizon,0.0,\N,76.0,Beyond the Blue Horizon,1942,"Action,Adventure,Comedy",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",28,0
tt0034842,1.0,nm0527996,Jimmy Lydon,"tt0075393,tt0038126,tt0040676,tt0042578",19,4.0,nm0086830,movie,"Henry Aldrich, Editor",0.0,\N,72.0,"Henry Aldrich, Editor",1942,"Comedy,Drama,Family",Olive Blakeney,1894,1959,"actress,archive_footage","tt0038990,tt0034274,tt0035984,tt0036908",48,-29
tt0034844,1.0,nm0527996,Jimmy Lydon,"tt0075393,tt0038126,tt0040676,tt0042578",19,3.0,nm0027156,movie,Henry and Dizzy,0.0,\N,71.0,Henry and Dizzy,1942,"Comedy,Family",Mary Anderson,1918,2014,"actress,archive_footage","tt0037017,tt0031381,tt0037465,tt0036377",24,-5
tt0034862,1.0,nm0001078,Bing Crosby,"tt0047673,tt0049314,tt0036872,tt0046874",39,3.0,nm0721851,movie,Holiday Inn,0.0,\N,100.0,Holiday Inn,1942,"Comedy,Drama,Music",Marjorie Reynolds,1917,1997,"actress,soundtrack,archive_footage","tt0039037,tt0034862,tt0032404,tt0043643",25,14
tt0034958,1.0,nm0000734,Eddie Albert,"tt0046250,tt0058808,tt0068687,tt0056197",35,2.0,nm0794297,movie,Lady Bodyguard,0.0,\N,69.0,Lady Bodyguard,1943,Comedy,Anne Shirley,1918,1993,"actress,soundtrack,archive_footage","tt0037101,tt0033532,tt0029608,tt0021074",25,10
tt0035019,2.0,nm0001537,Ray Milland,"tt0037884,tt0046912,tt0066011,tt0037415",35,1.0,nm0001677,movie,The Major and the Minor,0.0,\N,100.0,The Major and the Minor,1942,"Comedy,Romance",Ginger Rogers,1911,1995,"actress,soundtrack,archive_footage","tt0032671,tt0035019,tt0044916,tt0032946",31,4
tt0035094,2.0,nm0001890,Hugh Herbert,"tt0033397,tt0020953,tt0030202,tt0029541",58,1.0,nm0047810,movie,Mrs. Wiggs of the Cabbage Patch,0.0,\N,80.0,Mrs. Wiggs of the Cabbage Patch,1942,"Comedy,Drama,Romance",Fay Bainter,1893,1968,"actress,soundtrack,archive_footage","tt0030287,tt0054743,tt0038116,tt0030973",49,9
tt0035100,1.0,nm0001362,Bob Hope,"tt0032520,tt0031143,tt0039645,tt0045094",39,2.0,nm0140914,movie,My Favorite Blonde,0.0,\N,78.0,My Favorite Blonde,1942,Comedy,Madeleine Carroll,1906,1987,"actress,archive_footage","tt0026029,tt0035100,tt0029442,tt0029057",36,3
tt0035104,1.0,nm0137999,Richard Carlson,"tt0046876,tt0045920,tt0033836,tt0032520",30,2.0,nm0640930,movie,My Heart Belongs to Daddy,0.0,\N,75.0,My Heart Belongs to Daddy,1942,"Comedy,Romance",Martha O'Driscoll,1922,1998,"actress,soundtrack,archive_footage","tt0037793,tt0038203,tt0038364,tt0038490",20,10
tt0035126,1.0,nm0288003,Preston Foster,"tt0023629,tt0023042,tt0044789,tt0026605",42,2.0,nm0605685,movie,Night in New Orleans,0.0,\N,75.0,Night in New Orleans,1942,"Comedy,Crime,Drama",Patricia Morison,1915,2018,"actress,soundtrack,archive_footage","tt0036377,tt0038494,tt0035706,tt0036005",27,15
tt0035169,2.0,nm0566948,Joel McCrea,"tt0034240,tt0032484,tt0023238,tt0056412",37,1.0,nm0001055,movie,The Palm Beach Story,0.0,\N,88.0,The Palm Beach Story,1942,"Comedy,Romance",Claudette Colbert,1903,1996,"actress,soundtrack,archive_footage","tt0025316,tt0036367,tt0029929,tt0037280",39,-2
tt0035216,2.0,nm0426708,Johnny Johnston,"tt0040565,tt0049682,tt0047780,tt0035216",27,1.0,nm0587900,movie,Priorities on Parade,0.0,\N,79.0,Priorities on Parade,1942,"Comedy,Musical,Romance",Ann Miller,1923,2004,"actress,miscellaneous,soundtrack","tt0166924,tt0030993,tt0041716,tt0036306",19,8
tt0035247,1.0,nm0002046,Brian Donlevy,"tt0031088,tt0041503,tt0034798,tt0050873",41,3.0,nm0237655,movie,The Remarkable Andrew,0.0,\N,81.0,The Remarkable Andrew,1942,"Comedy,Fantasy",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",28,13
tt0035262,1.0,nm0001078,Bing Crosby,"tt0047673,tt0049314,tt0036872,tt0046874",39,4.0,nm0483787,movie,Road to Morocco,0.0,\N,82.0,Road to Morocco,1942,"Adventure,Comedy,Family",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",28,11
