tconst,ordering,nconst,titleType,originalTitle,isAdult,endYear,runtimeMinutes,primaryTitle,startYear,genres,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,age
tt0035262,4.0,nm0483787,movie,Road to Morocco,0.0,\N,82.0,Road to Morocco,1942,"Adventure,Comedy,Family",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",28
tt0035379,7.0,nm0483787,movie,Star Spangled Rhythm,0.0,\N,99.0,Star Spangled Rhythm,1942,"Comedy,Music",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",28
tt0035400,2.0,nm0695863,movie,Sweater Girl,0.0,\N,77.0,Sweater Girl,1942,"Comedy,Musical,Mystery",June Preisser,1920,1984,"actress,soundtrack","tt0037100,tt0038664,tt0040208,tt0031066",22
tt0035413,1.0,nm0751426,movie,"Take a Letter, Darling",0.0,\N,92.0,"Take a Letter, Darling",1942,"Comedy,Romance",Rosalind Russell,1907,1976,"actress,writer,soundtrack","tt0051383,tt0032599,tt0056048,tt0032143",35
tt0035474,1.0,nm0134411,movie,True to the Army,0.0,\N,77,True to the Army,1942,"Comedy,Music",Judy Canova,1913,1983,"actress,soundtrack,archive_footage","tt0034193,tt0037028,tt0034074,tt0035474",29
tt0035810,2.0,nm0483787,movie,Dixie,0.0,\N,89.0,Dixie,1943,"Comedy,Musical",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",29
tt0035948,2.0,nm0907785,movie,The Good Fellows,0.0,\N,70.0,The Good Fellows,1943,"Comedy,Romance",Helen Walker,1920,1968,"actress,soundtrack,archive_footage","tt0037557,tt0040202,tt0037046,tt0041503",23
tt0035969,1.0,nm0552756,movie,Happy Go Lucky,0.0,\N,81.0,Happy Go Lucky,1943,"Comedy,Musical,Romance",Mary Martin,1913,1990,"actress,miscellaneous,producer","tt0054176,tt0046637,tt0036461,tt0033396",30
tt0035983,4.0,nm0086830,movie,Henry Aldrich Gets Glamour,0.0,\N,72.0,Henry Aldrich Gets Glamour,1943,"Adventure,Comedy,Family",Olive Blakeney,1894,1959,"actress,archive_footage","tt0038990,tt0034274,tt0035984,tt0036908",49
tt0035984,4.0,nm0086830,movie,Henry Aldrich Haunts a House,0.0,\N,73.0,Henry Aldrich Haunts a House,1943,"Adventure,Comedy,Family",Olive Blakeney,1894,1959,"actress,archive_footage","tt0038990,tt0034274,tt0035984,tt0036908",49
tt0035985,4.0,nm0086830,movie,Henry Aldrich Swings It,0.0,\N,64.0,Henry Aldrich Swings It,1943,"Comedy,Family",Olive Blakeney,1894,1959,"actress,archive_footage","tt0038990,tt0034274,tt0035984,tt0036908",49
tt0036161,2.0,nm0662335,movie,Minesweeper,0.0,\N,67.0,Minesweeper,1943,"Action,Adventure,Comedy",Jean Parker,1915,2005,"actress,soundtrack,archive_footage","tt0024264,tt0042531,tt0035453,tt0036653",28
tt0036208,1.0,nm0001055,movie,No Time for Love,0.0,\N,83.0,No Time for Love,1943,"Comedy,Romance",Claudette Colbert,1903,1996,"actress,soundtrack,archive_footage","tt0025316,tt0036367,tt0029929,tt0037280",40
tt0036313,1.0,nm0483787,movie,Riding High,0.0,\N,88,Riding High,1943,Comedy,Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",29
tt0036327,1.0,nm0722384,movie,Salute for Three,0.0,\N,74,Salute for Three,1943,"Comedy,Musical",Betty Jane Rhodes,1921,2011,"actress,soundtrack,archive_footage","tt0037475,tt0036327,tt0035216,tt0029145",22
tt0036461,1.0,nm0552756,movie,True to Life,0.0,\N,94,True to Life,1943,"Comedy,Romance",Mary Martin,1913,1990,"actress,miscellaneous,producer","tt0054176,tt0046637,tt0036461,tt0033396",30
tt0036600,1.0,nm0483787,movie,And the Angels Sing,0.0,\N,96,And the Angels Sing,1944,"Comedy,Music,Romance",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",30
tt0036774,2.0,nm0446715,movie,Double Exposure,0.0,\N,63.0,Double Exposure,1944,"Comedy,Crime,Mystery",Nancy Kelly,1921,1995,"actress,soundtrack,archive_footage","tt0048977,tt0031507,tt0035795,tt0032873",23
tt0036872,6.0,nm0372742,movie,Going My Way,0.0,\N,126.0,Going My Way,1944,"Comedy,Drama,Music",Jean Heather,1921,1995,"actress,soundtrack,archive_footage","tt0036775,tt0036872,tt0037119,tt0037662",23
tt0036891,2.0,nm0707048,movie,Hail the Conquering Hero,0.0,\N,101.0,Hail the Conquering Hero,1944,"Comedy,War",Ella Raines,1920,1988,"actress,soundtrack,archive_footage","tt0036260,tt0041503,tt0036891,tt0037330",24
tt0036907,4.0,nm0086830,movie,Henry Aldrich Plays Cupid,0.0,\N,65.0,Henry Aldrich Plays Cupid,1944,"Comedy,Family",Olive Blakeney,1894,1959,"actress,archive_footage","tt0038990,tt0034274,tt0035984,tt0036908",50
tt0036908,4.0,nm0086830,movie,Henry Aldrich's Little Secret,0.0,\N,75.0,Henry Aldrich's Little Secret,1944,"Comedy,Family,Romance",Olive Blakeney,1894,1959,"actress,archive_footage","tt0038990,tt0034274,tt0035984,tt0036908",50
tt0036909,4.0,nm0086830,movie,"Henry Aldrich, Boy Scout",0.0,\N,66.0,"Henry Aldrich, Boy Scout",1944,"Comedy,Family",Olive Blakeney,1894,1959,"actress,archive_footage","tt0038990,tt0034274,tt0035984,tt0036908",50
tt0036912,2.0,nm0002149,movie,Here Come the Waves,0.0,\N,99.0,Here Come the Waves,1944,"Comedy,Musical,Romance",Betty Hutton,1921,2007,"actress,writer,soundtrack","tt0042200,tt0044672,tt0037077,tt0038119",23
tt0037077,2.0,nm0002149,movie,The Miracle of Morgan's Creek,0.0,\N,98,The Miracle of Morgan's Creek,1943,"Comedy,Romance,War",Betty Hutton,1921,2007,"actress,writer,soundtrack","tt0042200,tt0044672,tt0037077,tt0038119",22
tt0037151,2.0,nm0662335,movie,One Body Too Many,0.0,\N,75,One Body Too Many,1944,"Comedy,Horror,Mystery",Jean Parker,1915,2005,"actress,soundtrack,archive_footage","tt0024264,tt0042531,tt0035453,tt0036653",29
tt0037158,1.0,nm0751149,movie,Our Hearts Were Young and Gay,0.0,\N,81,Our Hearts Were Young and Gay,1944,Comedy,Gail Russell,1924,1961,"actress,soundtrack,archive_footage","tt0037415,tt0039152,tt0039235,tt0040643",20
tt0037190,1.0,nm0001055,movie,Practically Yours,0.0,\N,90,Practically Yours,1944,"Comedy,Romance,War",Claudette Colbert,1903,1996,"actress,soundtrack,archive_footage","tt0025316,tt0036367,tt0029929,tt0037280",41
tt0037208,1.0,nm0483787,movie,Rainbow Island,0.0,\N,98,Rainbow Island,1944,"Comedy,Musical,Romance",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",30
tt0037310,1.0,nm0002104,movie,Standing Room Only,0.0,\N,83,Standing Room Only,1944,"Comedy,Romance,War",Paulette Goddard,1910,1990,"actress,producer,soundtrack","tt0032520,tt0027977,tt0033722,tt0037849",34
tt0037340,2.0,nm0384948,movie,Take It Big,0.0,\N,75,Take It Big,1944,"Comedy,Music,Romance",Harriet Nelson,1909,1994,"actress,soundtrack,archive_footage","tt0044230,tt0035854,tt0027630,tt0034572",35
tt0037475,1.0,nm0722384,movie,You Can't Ration Love,0.0,\N,78.0,You Can't Ration Love,1944,"Comedy,Musical,Romance",Betty Jane Rhodes,1921,2011,"actress,soundtrack,archive_footage","tt0037475,tt0036327,tt0035216,tt0029145",23
tt0037498,1.0,nm0000021,movie,The Affairs of Susan,0.0,\N,110.0,The Affairs of Susan,1945,"Comedy,Drama,Romance",Joan Fontaine,1917,2013,"actress,producer,soundtrack","tt0034248,tt0032976,tt0035751,tt0036969",28
tt0037560,1.0,nm0000043,movie,Bring on the Girls,0.0,\N,92.0,Bring on the Girls,1945,"Comedy,Musical",Veronica Lake,1922,1973,"actress,producer,soundtrack","tt0034240,tt0038369,tt0035432,tt0034881",23
tt0037662,3.0,nm0002149,movie,Duffy's Tavern,0.0,\N,97.0,Duffy's Tavern,1945,"Comedy,Musical",Betty Hutton,1921,2007,"actress,writer,soundtrack","tt0042200,tt0044672,tt0037077,tt0038119",24
tt0037712,2.0,nm0446715,movie,Follow That Woman,0.0,\N,69,Follow That Woman,1945,"Comedy,Crime,Drama",Nancy Kelly,1921,1995,"actress,soundtrack,archive_footage","tt0048977,tt0031507,tt0035795,tt0032873",24
tt0037903,1.0,nm0483787,movie,Masquerade in Mexico,0.0,\N,96,Masquerade in Mexico,1945,"Comedy,Romance",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",31
tt0037931,2.0,nm0907785,movie,"Murder, He Says",0.0,\N,91,"Murder, He Says",1945,"Comedy,Mystery",Helen Walker,1920,1968,"actress,soundtrack,archive_footage","tt0037557,tt0040202,tt0037046,tt0041503",25
tt0037960,2.0,nm0767243,movie,Midnight Manhunt,0.0,\N,64,Midnight Manhunt,1945,"Comedy,Crime,Mystery",Ann Savage,1921,2008,"actress,soundtrack,archive_footage","tt0037638,tt1093842,tt0038877,tt0037409",24
tt0037964,2.0,nm0000043,movie,Out of This World,0.0,\N,96,Out of This World,1945,"Comedy,Music,Romance",Veronica Lake,1922,1973,"actress,producer,soundtrack","tt0034240,tt0038369,tt0035432,tt0034881",23
tt0038032,3.0,nm0483787,movie,Road to Utopia,0.0,\N,90,Road to Utopia,1945,"Adventure,Comedy,Family",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",31
tt0038055,2.0,nm0767243,movie,Scared Stiff,0.0,\N,65,Scared Stiff,1945,"Comedy,Mystery",Ann Savage,1921,2008,"actress,soundtrack,archive_footage","tt0037638,tt1093842,tt0038877,tt0037409",24
tt0038119,1.0,nm0002149,movie,The Stork Club,0.0,\N,98,The Stork Club,1945,"Comedy,Musical,Romance",Betty Hutton,1921,2007,"actress,writer,soundtrack","tt0042200,tt0044672,tt0037077,tt0038119",24
tt0038370,3.0,nm0146542,movie,Blue Skies,0.0,\N,99,Blue Skies,1946,"Comedy,Musical,Romance",Joan Caulfield,1922,1991,"actress,soundtrack,archive_footage","tt0038747,tt0039307,tt0039941,tt0040754",24
tt0038383,1.0,nm0001766,movie,The Bride Wore Boots,0.0,\N,85,The Bride Wore Boots,1946,"Adventure,Comedy,Romance",Barbara Stanwyck,1907,1990,"actress,soundtrack,archive_footage","tt0036775,tt0033373,tt0040823,tt0032080",39
tt0038438,1.0,nm0002149,movie,Cross My Heart,0.0,\N,85.0,Cross My Heart,1946,"Comedy,Music,Mystery",Betty Hutton,1921,2007,"actress,writer,soundtrack","tt0042200,tt0044672,tt0037077,tt0038119",25
tt0038747,2.0,nm0146542,movie,Monsieur Beaucaire,0.0,\N,93,Monsieur Beaucaire,1946,"Adventure,Comedy,History",Joan Caulfield,1922,1991,"actress,soundtrack,archive_footage","tt0038747,tt0039307,tt0039941,tt0040754",24
tt0038815,1.0,nm0751149,movie,Our Hearts Were Growing Up,0.0,\N,83,Our Hearts Were Growing Up,1946,"Adventure,Comedy,Romance",Gail Russell,1924,1961,"actress,soundtrack,archive_footage","tt0037415,tt0039152,tt0039235,tt0040643",22
tt0038832,1.0,nm0949835,movie,The Perfect Marriage,0.0,\N,88,The Perfect Marriage,1946,Comedy,Loretta Young,1913,2000,"actress,producer,soundtrack","tt0038991,tt0039370,tt0024334,tt0032397",33
tt0039098,1.0,nm0000014,movie,The Well Groomed Bride,0.0,\N,75,The Well Groomed Bride,1946,"Comedy,Romance",Olivia de Havilland,1916,2020,"actress,soundtrack,archive_footage","tt0031381,tt0041452,tt0029843,tt0040806",30
tt0039133,2.0,nm0281766,movie,Adventure Island,0.0,\N,66,Adventure Island,1947,"Action,Adventure,Comedy",Rhonda Fleming,1923,2020,"actress,soundtrack,archive_footage","tt0039689,tt0038109,tt0081249,tt0041259",24
tt0039307,1.0,nm0146542,movie,Dear Ruth,0.0,\N,95,Dear Ruth,1947,"Comedy,Romance",Joan Caulfield,1922,1991,"actress,soundtrack,archive_footage","tt0038747,tt0039307,tt0039941,tt0040754",25
tt0039346,2.0,nm0528658,movie,"Easy Come, Easy Go",0.0,\N,77,"Easy Come, Easy Go",1947,"Comedy,Drama",Diana Lynn,1926,1971,"actress,soundtrack,archive_footage","tt0035019,tt0037077,tt0041673,tt0048822",21
tt0039428,2.0,nm0000017,movie,Golden Earrings,0.0,\N,95,Golden Earrings,1947,"Adventure,Comedy,Drama",Marlene Dietrich,1901,1992,"actress,music_department,soundtrack","tt0051201,tt0055031,tt0052311,tt0021156",46
tt0039544,2.0,nm0197837,movie,Ladies' Man,0.0,\N,91,Ladies' Man,1947,"Comedy,Musical",Cass Daley,1915,1975,"actress,soundtrack,archive_footage","tt0035379,tt0047400,tt0039544,tt0034736",32
tt0039645,2.0,nm0483787,movie,My Favorite Brunette,0.0,\N,87,My Favorite Brunette,1947,"Comedy,Crime,Mystery",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",33
tt0039917,2.0,nm0942863,movie,The Trouble with Women,0.0,\N,80,The Trouble with Women,1947,"Comedy,Romance",Teresa Wright,1918,2005,"actress,soundtrack,archive_footage","tt0036342,tt0036868,tt0035093,tt0081534",29
tt0039951,1.0,nm0368779,movie,Variety Girl,0.0,\N,93,Variety Girl,1947,"Comedy,Musical",Mary Hatcher,1929,2018,"actress,soundtrack,archive_footage","tt0039951,tt0041179,tt0041475,tt0044104",18
tt0039975,3.0,nm0146542,movie,Welcome Stranger,0.0,\N,107,Welcome Stranger,1947,Comedy,Joan Caulfield,1922,1991,"actress,soundtrack,archive_footage","tt0038747,tt0039307,tt0039941,tt0040754",25
tt0039982,2.0,nm0368516,movie,Where There's Life,0.0,\N,75,Where There's Life,1947,"Comedy,Thriller",Signe Hasso,1915,2002,"actress,director,producer","tt0035979,tt0038908,tt0037795,tt0037634",32
tt0040302,1.0,nm0002149,movie,Dream Girl,0.0,\N,85,Dream Girl,1948,"Comedy,Romance",Betty Hutton,1921,2007,"actress,writer,soundtrack","tt0042200,tt0044672,tt0037077,tt0038119",27
tt0040317,2.0,nm0000021,movie,The Emperor Waltz,0.0,\N,106,The Emperor Waltz,1948,"Comedy,Musical,Romance",Joan Fontaine,1917,2013,"actress,producer,soundtrack","tt0034248,tt0032976,tt0035751,tt0036969",31
tt0040367,1.0,nm0000795,movie,A Foreign Affair,0.0,\N,116,A Foreign Affair,1948,"Comedy,Drama,Romance",Jean Arthur,1900,1991,"actress,soundtrack,archive_footage","tt0030993,tt0031679,tt0046303,tt0036172",48
tt0040426,1.0,nm0002104,movie,Hazard,0.0,\N,95,Hazard,1948,"Comedy,Drama",Paulette Goddard,1910,1990,"actress,producer,soundtrack","tt0032520,tt0027977,tt0033722,tt0037849",38
tt0040599,2.0,nm0376905,movie,Miss Tatlock's Millions,0.0,\N,101.0,Miss Tatlock's Millions,1948,"Comedy,Romance",Wanda Hendrix,1928,1981,"actress,archive_footage","tt0041899,tt0039768,tt0041767,tt0042310",20
tt0040679,2.0,nm0000066,movie,The Paleface,0.0,\N,91.0,The Paleface,1948,"Comedy,Family,Western",Jane Russell,1921,2011,"actress,producer,soundtrack","tt0045810,tt0044863,tt0043643,tt0043476",27
