tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType,originalTitle,isAdult,endYear,runtimeMinutes,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0037046,1.0,nm0039989,Nils Asther,"tt0037046,tt0021345,tt0035124,tt0018850",47,2.0,nm0907785,movie,The Man in Half Moon Street,0.0,\N,92.0,The Man in Half Moon Street,1944,"Drama,Film-Noir,Horror",Helen Walker,1920,1968,"actress,soundtrack,archive_footage","tt0037557,tt0040202,tt0037046,tt0041503",24,23
tt0037075,1.0,nm0001537,Ray Milland,"tt0037884,tt0046912,tt0066011,tt0037415",37,2.0,nm0721851,movie,Ministry of Fear,0.0,\N,86.0,Ministry of Fear,1944,"Crime,Drama,Film-Noir",Marjorie Reynolds,1917,1997,"actress,soundtrack,archive_footage","tt0039037,tt0034862,tt0032404,tt0043643",27,10
tt0037884,1.0,nm0001537,Ray Milland,"tt0037884,tt0046912,tt0066011,tt0037415",38,2.0,nm0943837,movie,The Lost Weekend,0.0,\N,101.0,The Lost Weekend,1945,"Drama,Film-Noir",Jane Wyman,1917,2007,"actress,writer,producer","tt0081858,tt0043350,tt0047811,tt0037884",28,10
tt0038205,1.0,nm0566948,Joel McCrea,"tt0034240,tt0032484,tt0023238,tt0056412",40,2.0,nm0751149,movie,The Unseen,0.0,\N,80.0,The Unseen,1945,"Drama,Film-Noir,Horror",Gail Russell,1924,1961,"actress,soundtrack,archive_footage","tt0037415,tt0039152,tt0039235,tt0040643",21,19
tt0038369,1.0,nm0000042,Alan Ladd,"tt0046303,tt0035432,tt0038369,tt0055718",33,2.0,nm0000043,movie,The Blue Dahlia,0.0,\N,96.0,The Blue Dahlia,1946,"Crime,Film-Noir,Mystery",Veronica Lake,1922,1973,"actress,producer,soundtrack","tt0034240,tt0038369,tt0035432,tt0034881",24,9
tt0039023,1.0,nm0523225,Robert Lowery,"tt0038621,tt0041162,tt0037927,tt0037114",33,2.0,nm0110159,movie,They Made Me a Killer,0.0,\N,64.0,They Made Me a Killer,1946,"Crime,Drama,Film-Noir",Barbara Britton,1919,1980,"actress,archive_footage","tt0038513,tt0042325,tt0040616,tt0040543",27,6
tt0039187,1.0,nm0715637,Phillip Reed,"tt0040920,tt0043072,tt0039853,tt0027869",39,2.0,nm0111702,movie,Big Town After Dark,0.0,\N,69.0,Big Town After Dark,1947,"Crime,Drama,Film-Noir",Hillary Brooke,1914,1999,"actress,archive_footage","tt0049470,tt0037671,tt0038990,tt0041191",33,6
tt0039311,1.0,nm0388303,John Hodiak,"tt0037017,tt0038965,tt0041163,tt0038589",33,2.0,nm0779507,movie,Desert Fury,0.0,\N,96.0,Desert Fury,1947,"Crime,Drama,Film-Noir",Lizabeth Scott,1922,2015,"actress,soundtrack,archive_footage","tt0041968,tt0038988,tt0040695,tt0039482",25,8
tt0039372,1.0,nm0446769,Paul Kelly,"tt0034742,tt0039286,tt0035299,tt0038459",47,3.0,nm0779422,movie,Fear in the Night,0.0,\N,72.0,Fear in the Night,1946,"Crime,Drama,Film-Noir",Kay Scott,1927,1971,"actress,soundtrack","tt0039372,tt0062309",19,28
tt0039482,1.0,nm0000044,Burt Lancaster,"tt0045793,tt0085859,tt0051036,tt0057091",34,2.0,nm0779507,movie,I Walk Alone,0.0,\N,97.0,I Walk Alone,1947,"Crime,Drama,Film-Noir",Lizabeth Scott,1922,2015,"actress,soundtrack,archive_footage","tt0041968,tt0038988,tt0040695,tt0039482",25,9
