tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType_x,originalTitle_x,isAdult_x,endYear_x,runtimeMinutes_x,titleType_y,primaryTitle,originalTitle_y,isAdult_y,startYear,endYear_y,runtimeMinutes_y,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0039895,2.0,nm0002145,Trevor Howard,"tt0041959,tt0037558,tt0066319,tt0083987",34,1.0,nm0336931,movie,They Made Me a Fugitive,0.0,\N,78.0,movie,I Became a Criminal,They Made Me a Fugitive,0,1947,\N,78,"Crime,Drama,Film-Noir",Sally Gray,1915,2006,"actress,soundtrack","tt0034146,tt0031891,tt0032688,tt0038577",32,2
tt0039899,1.0,nm0064604,Hugh Beaumont,"tt0050032,tt0049516,tt0038366,tt0038757",38,2.0,nm0907612,movie,Three on a Ticket,0.0,\N,64.0,movie,Three on a Ticket,Three on a Ticket,0,1947,\N,64,"Comedy,Crime,Drama",Cheryl Walker,1918,1971,"actress,miscellaneous,soundtrack","tt0038757,tt0038682,tt0039899,tt0033033",29,9
tt0039906,1.0,nm0064604,Hugh Beaumont,"tt0050032,tt0049516,tt0038366,tt0038757",38,2.0,nm0551221,movie,Too Many Winners,0.0,\N,61.0,movie,Too Many Winners,Too Many Winners,0,1947,\N,61,"Crime,Drama,Mystery",Trudy Marshall,1920,2004,"actress,soundtrack","tt0038492,tt0035777,tt0039906,tt0036998",27,11
tt0039914,2.0,nm0235282,Warren Douglas,"tt0038640,tt0040447,tt0046601,tt0047192",36,1.0,nm0262661,movie,The Trespasser,0.0,\N,71.0,movie,The Trespasser,The Trespasser,0,1947,\N,71,"Action,Adventure,Crime",Dale Evans,1912,2001,"actress,soundtrack,archive_footage","tt0036725,tt0043225,tt0039157,tt0039914",35,1
tt0039926,1.0,nm0000007,Humphrey Bogart,"tt0034583,tt0042593,tt0043265,tt0037382",48,2.0,nm0001766,movie,The Two Mrs. Carrolls,0.0,\N,99.0,movie,The Two Mrs. Carrolls,The Two Mrs. Carrolls,0,1947,\N,99,"Crime,Drama,Film-Noir",Barbara Stanwyck,1907,1990,"actress,soundtrack,archive_footage","tt0036775,tt0033373,tt0040823,tt0032080",40,8
tt0039935,2.0,nm0625167,Barry Nelson,"tt0081505,tt0065377,tt0035959,tt0049212",30,1.0,nm0815433,movie,Undercover Maisie,0.0,\N,90.0,movie,Undercover Maisie,Undercover Maisie,0,1947,\N,90,"Action,Comedy,Crime",Ann Sothern,1909,2001,"actress,music_department,soundtrack","tt0033803,tt0094315,tt0041587,tt0045435",38,-8
tt0039937,2.0,nm0000817,Lew Ayres,"tt0030241,tt0020629,tt0069768,tt0040495",39,1.0,nm0792130,movie,The Unfaithful,0.0,\N,109.0,movie,The Unfaithful,The Unfaithful,0,1947,\N,109,"Crime,Drama,Film-Noir",Ann Sheridan,1915,1967,"actress,producer,soundtrack","tt0034946,tt0033149,tt0039666,tt0037273",32,7
tt0039947,1.0,nm0000051,James Mason,"tt0056193,tt0053125,tt0047522,tt0084855",38,2.0,nm0424228,movie,The Upturned Glass,0.0,\N,90.0,movie,The Upturned Glass,The Upturned Glass,0,1947,\N,90,"Crime,Drama",Rosamund John,1913,1998,"actress,soundtrack,archive_footage","tt0037352,tt0034734,tt0038577,tt0177218",34,4
tt0039960,2.0,nm0642671,Michael O'Shea,"tt0036094,tt0041179,tt0041963,tt0041733",41,1.0,nm0171166,movie,Violence,0.0,\N,72.0,movie,Violence,Violence,0,1947,\N,72,"Crime,Drama,Film-Noir",Nancy Coleman,1912,2000,"actress,archive_sound","tt0034770,tt0038598,tt0038474,tt0039636",35,6
tt0039972,2.0,nm0447930,Bill Kennedy,"tt0038039,tt0295512,tt0035799,tt0042587",39,1.0,nm0544711,movie,Web of Danger,0.0,\N,58.0,movie,Web of Danger,Web of Danger,0,1947,\N,58,"Action,Adventure,Crime",Adele Mara,1923,2010,"actress,soundtrack,archive_footage","tt0041841,tt0035583,tt0039194,tt0038640",24,15
